source_file,source_question_id,exam,subject,topic,subtopic,difficulty,language,question,question_hi,english_question,option_a,option_b,option_c,option_d,correct_answer,explanation,status,tags,import_key
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,2001,IBPS RRB Prelims,Simplification,Simplification,,Moderate,Hindi,सरलीकरण करें: (169+6)×20,सरलीकरण करें: (169+6)×20,,3500,3503,3497,3506,A,पहले कोष्ठक: 175; फिर ×20 = 3500।,pending_review,,1d65be346987db1b
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,2002,IBPS RRB Prelims,Simplification,Simplification,,Moderate,Hindi,सरलीकरण करें: 2352÷14−7,सरलीकरण करें: 2352÷14−7,,161,164,158,167,A,2352÷14=168; फिर −7=161।,pending_review,,32f04910293dae71
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,2003,IBPS RRB Prelims,Simplification,Simplification,,Moderate,Hindi,सरलीकरण करें: (83+18)×7,सरलीकरण करें: (83+18)×7,,707,710,704,713,A,पहले कोष्ठक: 101; फिर ×7 = 707।,pending_review,,86ffd2174a69873a
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,2004,IBPS RRB Prelims,Simplification,Simplification,,Moderate,Hindi,सरलीकरण करें: (60+6)×10,सरलीकरण करें: (60+6)×10,,660,663,657,666,A,पहले कोष्ठक: 66; फिर ×10 = 660।,pending_review,,a67c042187e41947
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,2005,IBPS RRB Prelims,Simplification,Simplification,,Moderate,Hindi,सरलीकरण करें: (70+6)×18,सरलीकरण करें: (70+6)×18,,1368,1371,1365,1374,A,पहले कोष्ठक: 76; फिर ×18 = 1368।,pending_review,,158fba5468277fb9
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,2006,IBPS RRB Prelims,Simplification,Simplification,,Moderate,Hindi,सरलीकरण करें: 175+10×15,सरलीकरण करें: 175+10×15,,325,328,322,331,A,पहले गुणा: 10×15=150; फिर जोड़कर 325।,pending_review,,b1aa624155b158e4
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,2007,IBPS RRB Prelims,Simplification,Simplification,,Moderate,Hindi,सरलीकरण करें: 79+2×16,सरलीकरण करें: 79+2×16,,111,114,108,117,A,पहले गुणा: 2×16=32; फिर जोड़कर 111।,pending_review,,18e0e1370c50ddcf
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,2008,IBPS RRB Prelims,Simplification,Simplification,,Moderate,Hindi,सरलीकरण करें: 2805÷17−11,सरलीकरण करें: 2805÷17−11,,154,157,151,160,A,2805÷17=165; फिर −11=154।,pending_review,,59ef28e8d4facb54
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,2009,IBPS RRB Prelims,Simplification,Simplification,,Moderate,Hindi,सरलीकरण करें: 53+6×2,सरलीकरण करें: 53+6×2,,65,68,62,71,A,पहले गुणा: 6×2=12; फिर जोड़कर 65।,pending_review,,ce341b4b88abb0e3
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,2010,IBPS RRB Prelims,Simplification,Simplification,,Moderate,Hindi,सरलीकरण करें: 1539÷9−15,सरलीकरण करें: 1539÷9−15,,156,159,153,162,A,1539÷9=171; फिर −15=156।,pending_review,,be15090aa1a2d439
