source_file,source_question_id,exam,subject,topic,subtopic,difficulty,language,question,question_hi,english_question,option_a,option_b,option_c,option_d,correct_answer,explanation,status,tags,import_key
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3401,IBPS RRB Prelims,Ratio,Ratio,,Moderate,Hindi,A:B=2:6 और A+B=72 है। A का मान क्या है?,A:B=2:6 और A+B=72 है। A का मान क्या है?,,18,54,27,54,A,कुल भाग 8; एक भाग 9; A=2×9=18।,pending_review,,8b67d9f627642d46
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3402,IBPS RRB Prelims,Ratio,Ratio,,Moderate,Hindi,A:B=3:9 और A+B=84 है। A का मान क्या है?,A:B=3:9 और A+B=84 है। A का मान क्या है?,,21,63,28,63,A,कुल भाग 12; एक भाग 7; A=3×7=21।,pending_review,,de537b0f2f6032c5
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3403,IBPS RRB Prelims,Ratio,Ratio,,Moderate,Hindi,A:B=6:2 और A+B=40 है। A का मान क्या है?,A:B=6:2 और A+B=40 है। A का मान क्या है?,,30,10,35,10,A,कुल भाग 8; एक भाग 5; A=6×5=30।,pending_review,,fe3689ab427fa5be
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3404,IBPS RRB Prelims,Ratio,Ratio,,Moderate,Hindi,A:B=7:8 और A+B=225 है। A का मान क्या है?,A:B=7:8 और A+B=225 है। A का मान क्या है?,,105,120,120,120,A,कुल भाग 15; एक भाग 15; A=7×15=105।,pending_review,,e18a6328ac9b45b2
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3405,IBPS RRB Prelims,Ratio,Ratio,,Moderate,Hindi,A:B=6:8 और A+B=210 है। A का मान क्या है?,A:B=6:8 और A+B=210 है। A का मान क्या है?,,90,120,105,120,A,कुल भाग 14; एक भाग 15; A=6×15=90।,pending_review,,454b2c0b0976b146
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3406,IBPS RRB Prelims,Ratio,Ratio,,Moderate,Hindi,A:B=4:5 और A+B=135 है। A का मान क्या है?,A:B=4:5 और A+B=135 है। A का मान क्या है?,,60,75,75,75,A,कुल भाग 9; एक भाग 15; A=4×15=60।,pending_review,,e770586037702ed6
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3407,IBPS RRB Prelims,Ratio,Ratio,,Moderate,Hindi,A:B=2:9 और A+B=198 है। A का मान क्या है?,A:B=2:9 और A+B=198 है। A का मान क्या है?,,36,162,54,162,A,कुल भाग 11; एक भाग 18; A=2×18=36।,pending_review,,31aafe0754d137f0
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3408,IBPS RRB Prelims,Ratio,Ratio,,Moderate,Hindi,A:B=6:8 और A+B=70 है। A का मान क्या है?,A:B=6:8 और A+B=70 है। A का मान क्या है?,,30,40,35,40,A,कुल भाग 14; एक भाग 5; A=6×5=30।,pending_review,,8b24aaa83634d40e
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3409,IBPS RRB Prelims,Ratio,Ratio,,Moderate,Hindi,A:B=5:4 और A+B=144 है। A का मान क्या है?,A:B=5:4 और A+B=144 है। A का मान क्या है?,,80,64,96,64,A,कुल भाग 9; एक भाग 16; A=5×16=80।,pending_review,,34eacb9bf14cf3c3
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3410,IBPS RRB Prelims,Ratio,Ratio,,Moderate,Hindi,A:B=4:6 और A+B=180 है। A का मान क्या है?,A:B=4:6 और A+B=180 है। A का मान क्या है?,,72,108,90,108,A,कुल भाग 10; एक भाग 18; A=4×18=72।,pending_review,,391aaeb5b3d18e2b
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3411,IBPS RRB Prelims,Ratio,Ratio,,Moderate,Hindi,A:B=2:9 और A+B=121 है। A का मान क्या है?,A:B=2:9 और A+B=121 है। A का मान क्या है?,,22,99,33,99,A,कुल भाग 11; एक भाग 11; A=2×11=22।,pending_review,,317ac0b336b69ef2
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3412,IBPS RRB Prelims,Ratio,Ratio,,Moderate,Hindi,A:B=7:7 और A+B=238 है। A का मान क्या है?,A:B=7:7 और A+B=238 है। A का मान क्या है?,,119,119,136,119,A,कुल भाग 14; एक भाग 17; A=7×17=119।,pending_review,,0fa5040dde86bea9
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3413,IBPS RRB Prelims,Ratio,Ratio,,Moderate,Hindi,A:B=3:4 और A+B=119 है। A का मान क्या है?,A:B=3:4 और A+B=119 है। A का मान क्या है?,,51,68,68,68,A,कुल भाग 7; एक भाग 17; A=3×17=51।,pending_review,,993979b8c4869964
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3414,IBPS RRB Prelims,Ratio,Ratio,,Moderate,Hindi,A:B=4:3 और A+B=98 है। A का मान क्या है?,A:B=4:3 और A+B=98 है। A का मान क्या है?,,56,42,70,42,A,कुल भाग 7; एक भाग 14; A=4×14=56।,pending_review,,1c049a009fdf10a4
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3415,IBPS RRB Prelims,Ratio,Ratio,,Moderate,Hindi,A:B=3:7 और A+B=110 है। A का मान क्या है?,A:B=3:7 और A+B=110 है। A का मान क्या है?,,33,77,44,77,A,कुल भाग 10; एक भाग 11; A=3×11=33।,pending_review,,3b5c30a754c7ecc1
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3416,IBPS RRB Prelims,Ratio,Ratio,,Moderate,Hindi,A:B=4:4 और A+B=104 है। A का मान क्या है?,A:B=4:4 और A+B=104 है। A का मान क्या है?,,52,52,65,52,A,कुल भाग 8; एक भाग 13; A=4×13=52।,pending_review,,cfb5130c00df71b3
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3417,IBPS RRB Prelims,Ratio,Ratio,,Moderate,Hindi,A:B=2:3 और A+B=25 है। A का मान क्या है?,A:B=2:3 और A+B=25 है। A का मान क्या है?,,10,15,15,15,A,कुल भाग 5; एक भाग 5; A=2×5=10।,pending_review,,a122837c726f15e5
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3418,IBPS RRB Prelims,Ratio,Ratio,,Moderate,Hindi,A:B=5:7 और A+B=156 है। A का मान क्या है?,A:B=5:7 और A+B=156 है। A का मान क्या है?,,65,91,78,91,A,कुल भाग 12; एक भाग 13; A=5×13=65।,pending_review,,284e8d4c9324df6b
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3419,IBPS RRB Prelims,Ratio,Ratio,,Moderate,Hindi,A:B=8:2 और A+B=90 है। A का मान क्या है?,A:B=8:2 और A+B=90 है। A का मान क्या है?,,72,18,81,18,A,कुल भाग 10; एक भाग 9; A=8×9=72।,pending_review,,345b760f0aceab1a
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3421,IBPS RRB Prelims,Ratio,Ratio,,Moderate,Hindi,A:B=6:7 और A+B=234 है। A का मान क्या है?,A:B=6:7 और A+B=234 है। A का मान क्या है?,,108,126,126,126,A,कुल भाग 13; एक भाग 18; A=6×18=108।,pending_review,,adb92c3084a0490b
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3422,IBPS RRB Prelims,Ratio,Ratio,,Moderate,Hindi,A:B=8:8 और A+B=192 है। A का मान क्या है?,A:B=8:8 और A+B=192 है। A का मान क्या है?,,96,96,108,96,A,कुल भाग 16; एक भाग 12; A=8×12=96।,pending_review,,b362a9ca3c7fb55c
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3423,IBPS RRB Prelims,Ratio,Ratio,,Moderate,Hindi,A:B=7:9 और A+B=256 है। A का मान क्या है?,A:B=7:9 और A+B=256 है। A का मान क्या है?,,112,144,128,144,A,कुल भाग 16; एक भाग 16; A=7×16=112।,pending_review,,2233378e07eaf288
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3424,IBPS RRB Prelims,Ratio,Ratio,,Moderate,Hindi,A:B=9:6 और A+B=240 है। A का मान क्या है?,A:B=9:6 और A+B=240 है। A का मान क्या है?,,144,96,160,96,A,कुल भाग 15; एक भाग 16; A=9×16=144।,pending_review,,d28c20a7972fd84a
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3425,IBPS RRB Prelims,Ratio,Ratio,,Moderate,Hindi,A:B=4:9 और A+B=130 है। A का मान क्या है?,A:B=4:9 और A+B=130 है। A का मान क्या है?,,40,90,50,90,A,कुल भाग 13; एक भाग 10; A=4×10=40।,pending_review,,664f39211f5fee56
IBPS_RRB_PRELIMS_BULK_4000_MCQ_HINDI(1).txt,3426,IBPS RRB Prelims,Ratio,Ratio,,Moderate,Hindi,A:B=6:7 और A+B=78 है। A का मान क्या है?,A:B=6:7 और A+B=78 है। A का मान क्या है?,,36,42,42,42,A,कुल भाग 13; एक भाग 6; A=6×6=36।,pending_review,,6699c533cbc1900a
